"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","2023-10-01",,"23","22"
"USW00025333","SITKA AIRPORT, AK US","2023-10-02",,"25","20"
"USW00025333","SITKA AIRPORT, AK US","2023-10-03",,"19","18"
"USW00025333","SITKA AIRPORT, AK US","2023-10-04",,"22","18"
"USW00025333","SITKA AIRPORT, AK US","2023-10-05",,"23","18"
"USW00025333","SITKA AIRPORT, AK US","2023-10-06",,"23","17"
"USW00025333","SITKA AIRPORT, AK US","2023-10-07",,"19","16"
"USW00025333","SITKA AIRPORT, AK US","2023-10-08",,"22","18"
"USW00025333","SITKA AIRPORT, AK US","2023-10-09",,"22","17"
"USW00025333","SITKA AIRPORT, AK US","2023-10-10",,"22","16"
"USW00025333","SITKA AIRPORT, AK US","2023-10-11",,"26","16"
"USW00025333","SITKA AIRPORT, AK US","2023-10-12",,"23","18"
"USW00025333","SITKA AIRPORT, AK US","2023-10-13",,"23","16"
"USW00025333","SITKA AIRPORT, AK US","2023-10-14",,"27","14"
"USW00025333","SITKA AIRPORT, AK US","2023-10-15",,"29","15"
"USW00025333","SITKA AIRPORT, AK US","2023-10-16",,"30","15"
"USW00025333","SITKA AIRPORT, AK US","2023-10-17",,"30","15"
"USW00025333","SITKA AIRPORT, AK US","2023-10-18",,"32","21"
"USW00025333","SITKA AIRPORT, AK US","2023-10-19",,"24","16"
"USW00025333","SITKA AIRPORT, AK US","2023-10-20",,"23","12"
"USW00025333","SITKA AIRPORT, AK US","2023-10-21",,"24","13"
"USW00025333","SITKA AIRPORT, AK US","2023-10-22",,"26","14"
"USW00025333","SITKA AIRPORT, AK US","2023-10-23",,"28","16"
"USW00025333","SITKA AIRPORT, AK US","2023-10-24",,"31","19"
"USW00025333","SITKA AIRPORT, AK US","2023-10-25",,"24","18"
"USW00025333","SITKA AIRPORT, AK US","2023-10-26",,"21","18"
"USW00025333","SITKA AIRPORT, AK US","2023-10-27",,"23","19"
"USW00025333","SITKA AIRPORT, AK US","2023-10-28",,"19","16"
"USW00025333","SITKA AIRPORT, AK US","2023-10-29",,"25","15"
"USW00025333","SITKA AIRPORT, AK US","2023-10-30",,"27","15"
"USW00025333","SITKA AIRPORT, AK US","2023-10-31",,"28","15"
